sender,receiver,count
62,2,1
62,5,1
62,8,1
62,16,1
62,22,1
62,26,1
62,27,1
62,32,1
62,36,1
62,54,1
62,60,1
62,72,1
62,81,1
62,83,1
62,84,1
62,91,1
62,93,1
62,95,1
62,96,1
62,97,1
62,106,1
62,108,1
62,110,1
62,121,1
62,128,1
62,129,1
62,132,1
62,133,1
62,151,1
62,157,1
62,162,1
62,172,1
62,175,1
62,179,1
62,182,1
62,187,1
62,190,1
62,191,1
36,2,1
36,8,1
36,59,1
36,72,1
36,88,1
36,93,1
36,94,1
36,95,1
36,96,1
36,107,1
36,110,1
36,145,1
36,151,1
36,154,1
36,157,1
36,190,1
36,191,1
115,2,1
115,8,1
84,8,1
84,81,1
84,110,1
84,182,1
84,187,1
84,191,1
124,163,1
124,190,1
157,2,1
157,5,1
157,26,1
157,36,1
157,54,1
157,66,1
157,96,1
157,110,1
157,182,1
157,190,1
157,191,1
157,62,1
103,2,1
103,88,1
103,185,1
103,191,1
103,36,1
5,190,1
5,191,1
5,157,1
5,88,1
5,84,1
5,2,1
22,191,1
22,5,1
22,10,1
22,2,1
31,180,1
31,108,1
31,5,1
31,2,1
31,191,1
31,36,1
